Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-328.040000,-101.280000,90.000000,bottom
"C2","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-345.290000,-104.030000,90.000000,bottom
"C3","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-340.790000,-116.280000,180.000000,bottom
"C4","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-327.290000,-110.030000,180.000000,bottom
"C5","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-330.540000,-98.030000,0.000000,bottom
"C6","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-354.965000,-109.855000,180.000000,bottom
"C7","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-354.965000,-106.680000,180.000000,bottom
"C8","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-336.790000,-98.030000,0.000000,bottom
"C9","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-324.290000,-100.530000,-90.000000,bottom
"D1","D","D_SOD-123",-51.952500,-40.155000,90.000000,bottom
"D2","D","D_SOD-123",-90.146250,-40.105000,90.000000,bottom
"D3","D","D_SOD-123",-109.490000,-40.698750,90.000000,bottom
"D4","D","D_SOD-123",-129.540000,-40.798750,90.000000,bottom
"D5","D","D_SOD-123",-148.590000,-40.798750,90.000000,bottom
"D6","D","D_SOD-123",-176.371250,-40.798750,90.000000,bottom
"D7","D","D_SOD-123",-195.421250,-40.798750,90.000000,bottom
"D8","D","D_SOD-123",-214.471250,-40.798750,90.000000,bottom
"D9","D","D_SOD-123",-233.521250,-40.798750,90.000000,bottom
"D10","D","D_SOD-123",-263.196250,-41.198750,90.000000,bottom
"D11","D","D_SOD-123",-282.296250,-41.198750,90.000000,bottom
"D12","D","D_SOD-123",-300.996250,-41.198750,90.000000,bottom
"D13","D","D_SOD-123",-319.990000,-41.398750,90.000000,bottom
"D14","D","D_SOD-123",-344.702500,-41.398750,90.000000,bottom
"D15","D","D_SOD-123",-364.152500,-41.198750,90.000000,bottom
"D16","D","D_SOD-123",-382.746250,-41.198750,90.000000,bottom
"D17","D","D_SOD-123",-53.340000,-67.992500,90.000000,bottom
"D18","D","D_SOD-123",-72.390000,-67.986250,90.000000,bottom
"D19","D","D_SOD-123",-91.440000,-67.786250,90.000000,bottom
"D20","D","D_SOD-123",-110.490000,-67.786250,90.000000,bottom
"D21","D","D_SOD-123",-129.540000,-67.786250,90.000000,bottom
"D22","D","D_SOD-123",-148.590000,-67.786250,90.000000,bottom
"D23","D","D_SOD-123",-167.640000,-67.786250,90.000000,bottom
"D24","D","D_SOD-123",-186.690000,-67.786250,90.000000,bottom
"D25","D","D_SOD-123",-205.740000,-67.786250,90.000000,bottom
"D26","D","D_SOD-123",-224.790000,-67.786250,90.000000,bottom
"D27","D","D_SOD-123",-243.840000,-67.786250,90.000000,bottom
"D28","D","D_SOD-123",-262.890000,-67.786250,90.000000,bottom
"D29","D","D_SOD-123",-281.940000,-67.786250,90.000000,bottom
"D30","D","D_SOD-123",-310.515000,-67.786250,90.000000,bottom
"D31","D","D_SOD-123",-344.846250,-67.711250,90.000000,bottom
"D32","D","D_SOD-123",-364.046250,-67.786250,90.000000,bottom
"D33","D","D_SOD-123",-383.096250,-67.786250,90.000000,bottom
"D34","D","D_SOD-123",-54.871250,-86.636250,90.000000,bottom
"D35","D","D_SOD-123",-77.102500,-86.598750,90.000000,bottom
"D36","D","D_SOD-123",-96.152500,-86.598750,90.000000,bottom
"D37","D","D_SOD-123",-115.202500,-86.598750,90.000000,bottom
"D38","D","D_SOD-123",-134.252500,-86.598750,90.000000,bottom
"D39","D","D_SOD-123",-153.302500,-86.598750,90.000000,bottom
"D40","D","D_SOD-123",-172.352500,-86.598750,90.000000,bottom
