Ref,Val,Package,PosX,PosY,Rot,Side
"K1","ESC","SW_Cherry_MX_1.00u_PCB",58.102500,-31.432500,0.000000,top
"K2","F1","SW_Cherry_MX_1.00u_PCB",96.202500,-31.432500,0.000000,top
"K3","F2","SW_Cherry_MX_1.00u_PCB",115.252500,-31.432500,0.000000,top
"K4","F3","SW_Cherry_MX_1.00u_PCB",134.302500,-31.432500,0.000000,top
"K5","F4","SW_Cherry_MX_1.00u_PCB",153.352500,-31.432500,0.000000,top
"K6","F5","SW_Cherry_MX_1.00u_PCB",181.292500,-31.432500,0.000000,top
"K7","F6","SW_Cherry_MX_1.00u_PCB",200.342500,-31.432500,0.000000,top
"K8","F7","SW_Cherry_MX_1.00u_PCB",219.392500,-31.432500,0.000000,top
"K9","F8","SW_Cherry_MX_1.00u_PCB",238.442500,-31.432500,0.000000,top
"K10","F9","SW_Cherry_MX_1.00u_PCB",267.652500,-31.432500,0.000000,top
"K11","F10","SW_Cherry_MX_1.00u_PCB",286.702500,-31.432500,0.000000,top
"K12","F11","SW_Cherry_MX_1.00u_PCB",305.752500,-31.432500,0.000000,top
"K13","F12","SW_Cherry_MX_1.00u_PCB",324.802500,-31.432500,0.000000,top
"K14","Prt Scr","SW_Cherry_MX_1.00u_PCB",349.567500,-31.432500,0.000000,top
"K15","Sc.Lck","SW_Cherry_MX_1.00u_PCB",368.617500,-31.432500,0.000000,top
"K16","Pause","SW_Cherry_MX_1.00u_PCB",387.667500,-31.432500,0.000000,top
"K17","/","SW_Cherry_MX_1.00u_PCB",58.102500,-58.102500,0.000000,top
"K18","1","SW_Cherry_MX_1.00u_PCB",77.152500,-58.102500,0.000000,top
"K19","2","SW_Cherry_MX_1.00u_PCB",96.202500,-58.102500,0.000000,top
"K20","3","SW_Cherry_MX_1.00u_PCB",115.252500,-58.102500,0.000000,top
"K21","4","SW_Cherry_MX_1.00u_PCB",134.302500,-58.102500,0.000000,top
"K22","5","SW_Cherry_MX_1.00u_PCB",153.352500,-58.102500,0.000000,top
"K23","6","SW_Cherry_MX_1.00u_PCB",172.402500,-58.102500,0.000000,top
"K24","7","SW_Cherry_MX_1.00u_PCB",191.452500,-58.102500,0.000000,top
"K25","8","SW_Cherry_MX_1.00u_PCB",210.502500,-58.102500,0.000000,top
"K26","9","SW_Cherry_MX_1.00u_PCB",229.552500,-58.102500,0.000000,top
"K27","0","SW_Cherry_MX_1.00u_PCB",248.602500,-58.102500,0.000000,top
"K28","-","SW_Cherry_MX_1.00u_PCB",267.652500,-58.102500,0.000000,top
"K29","=","SW_Cherry_MX_1.00u_PCB",286.702500,-58.102500,0.000000,top
"K30","Backspc","SW_Cherry_MX_1.00u_PCB",315.252100,-58.112700,0.000000,top
"K31","Ins","SW_Cherry_MX_1.00u_PCB",349.408750,-58.102500,0.000000,top
"K32","Home","SW_Cherry_MX_1.00u_PCB",368.458750,-58.102500,0.000000,top
