Id;Référence;Boîtier;Quantité;Désignation;Fournisseur et réf
1;K38;SW_Cherry_MX_1.00u_PCB;1;R;
2;K26;SW_Cherry_MX_1.00u_PCB;1;9;
3;K12;SW_Cherry_MX_1.00u_PCB;1;F11;
4;K54;SW_Cherry_MX_1.00u_PCB;1;D;
5;K32;SW_Cherry_MX_1.00u_PCB;1;Debut;
6;K41;SW_Cherry_MX_1.00u_PCB;1;U;
7;K4;SW_Cherry_MX_1.00u_PCB;1;F3;
8;K66;SW_Cherry_MX_1.00u_PCB;1;X;
9;K74;SW_Cherry_MX_1.00u_PCB;1;É;
10;K43;SW_Cherry_MX_1.00u_PCB;1;O;
11;K84;SW_Cherry_MX_1.25u_PCB;1;CTRL D.;
12;K14;SW_Cherry_MX_1.00u_PCB;1;Imp_Ecran;
13;K5;SW_Cherry_MX_1.00u_PCB;1;F4;
14;K27;SW_Cherry_MX_1.00u_PCB;1;0;
15;K3;SW_Cherry_MX_1.00u_PCB;1;F2;
16;K86;SW_Cherry_MX_1.00u_PCB;1;DOWN Arrow;
17;K39;SW_Cherry_MX_1.00u_PCB;1;T;
18;K9;SW_Cherry_MX_1.00u_PCB;1;F8;
19;K7;SW_Cherry_MX_1.00u_PCB;1;F6;
20;K83;SW_Cherry_MX_1.25u_PCB;1;MENU;
21;K78,K82;SW_Cherry_MX_1.25u_PCB;2;WINDOWS;
22;K21;SW_Cherry_MX_1.00u_PCB;1;4;
23;K20;SW_Cherry_MX_1.00u_PCB;1;3;
24;K62;SW_Cherry_MX_1.00u_PCB;1;È;
25;K44;SW_Cherry_MX_1.00u_PCB;1;P;
26;K79;SW_Cherry_MX_1.25u_PCB;1;ALT G.;
27;K61;SW_Cherry_MX_1.00u_PCB;1;";";
28;K37;SW_Cherry_MX_1.00u_PCB;1;E;
29;K87;SW_Cherry_MX_1.00u_PCB;1;RIGHT Arrow;
30;K11;SW_Cherry_MX_1.00u_PCB;1;F10;
31;K55;SW_Cherry_MX_1.00u_PCB;1;F;
32;K52;SW_Cherry_MX_1.00u_PCB;1;A;
33;K53;SW_Cherry_MX_1.00u_PCB;1;S;
34;K67;SW_Cherry_MX_1.00u_PCB;1;C;
35;K48;SW_Cherry_MX_1.00u_PCB;1;Suppr;
36;K72;SW_Cherry_MX_1.00u_PCB;1;,;
37;K46;SW_Cherry_MX_1.00u_PCB;1;Ç;
38;K15;SW_Cherry_MX_1.00u_PCB;1;Defilement;
39;K13;SW_Cherry_MX_1.00u_PCB;1;F12;
40;K2;SW_Cherry_MX_1.00u_PCB;1;F1;
41;K56;SW_Cherry_MX_1.00u_PCB;1;G;
42;K70;SW_Cherry_MX_1.00u_PCB;1;N;
43;K58;SW_Cherry_MX_1.00u_PCB;1;J;
44;K23;SW_Cherry_MX_1.00u_PCB;1;6;
45;K42;SW_Cherry_MX_1.00u_PCB;1;I;
46;K33;SW_Cherry_MX_1.00u_PCB;1;Next;
47;K22;SW_Cherry_MX_1.00u_PCB;1;5;
48;K45;SW_Cherry_MX_1.00u_PCB;1;^;
49;K69;SW_Cherry_MX_1.00u_PCB;1;B;
50;K64;SW_Cherry_MX_2.25u_PCB;1;MAJ G.;
51;K19;SW_Cherry_MX_1.00u_PCB;1;2;
52;K68;SW_Cherry_MX_1.00u_PCB;1;V;
53;K18;SW_Cherry_MX_1.00u_PCB;1;1;
54;K65;SW_Cherry_MX_1.00u_PCB;1;Z;
55;K59;SW_Cherry_MX_1.00u_PCB;1;K;
56;K77;SW_Cherry_MX_1.25u_PCB;1;CTRL G.;
57;K35;SW_Cherry_MX_1.00u_PCB;1;Q;
58;K76;SW_Cherry_MX_1.00u_PCB;1;UP Arrow;
59;K51;SW_Cherry_MX_1.75u_PCB;1;CAPS LOCK;
60;K47;SW_Cherry_MX_1.75u_PCB;1;À;
61;K10;SW_Cherry_MX_1.00u_PCB;1;F9;
62;K1;SW_Cherry_MX_1.00u_PCB;1;ESC;
63;K49;SW_Cherry_MX_1.00u_PCB;1;FIN;
64;K80;SW_Cherry_MX_6.25u_PCB;1;BARRE;
65;K40;SW_Cherry_MX_1.00u_PCB;1;Y;
66;K50;SW_Cherry_MX_1.00u_PCB;1;Previous;
67;K71;SW_Cherry_MX_1.00u_PCB;1;M;
68;K24;SW_Cherry_MX_1.00u_PCB;1;7;
69;K85;SW_Cherry_MX_1.00u_PCB;1;LEFT Arrow;
70;K25;SW_Cherry_MX_1.00u_PCB;1;8;
71;K34;SW_Cherry_MX_1.25u_PCB;1;TAB;
72;K8;SW_Cherry_MX_1.00u_PCB;1;F7;
73;K81;SW_Cherry_MX_1.25u_PCB;1;ALT D.;
74;K75;SW_Cherry_MX_2.75u_PCB;1;MAJ D.;
75;K28;SW_Cherry_MX_1.00u_PCB;1;-;
76;K30;SW_Cherry_MX_2.00u_PCB;1;KEYSW;
77;K16;SW_Cherry_MX_1.00u_PCB;1;Pause;
78;K17;SW_Cherry_MX_1.00u_PCB;1;/;
79;K31;SW_Cherry_MX_1.00u_PCB;1;Ins;
80;K73;SW_Cherry_MX_1.00u_PCB;1;.;
81;K60;SW_Cherry_MX_1.00u_PCB;1;L;
82;K29;SW_Cherry_MX_1.00u_PCB;1;=;
83;K57;SW_Cherry_MX_1.00u_PCB;1;H;
84;K6;SW_Cherry_MX_1.00u_PCB;1;F5;
85;K63;SW_Cherry_MX_2.25u_PCB;1;ENTER;
86;K36;SW_Cherry_MX_1.00u_PCB;1;W;
87;D35,D25,D70,D84,D46,D9,D16,D43,D58,D73,D53,D76,D78,D59,D75,D34,D20,D49,D24,D67,D61,D48,D60,D69,D23,D5,D55,D85,D36,D82,D14,D21,D17,D10,D37,D8,D2,D79,D6,D32,D66,D7,D45,D68,D64,D11,D62,D28,D83,D42,D52,D27,D72,D47,D30,D50,D81,D74,D54,D44,D86,D33,D57,D1,D12,D29,D15,D65,D80,D39,D31,D22,D18,D4,D63,D3,D19,D13,D56,D38,D51,D41,D26,D77,D71,D87,D40;D_SOD-123;87;D;
88;R6,R1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;10K;
89;SW1;SW_SPST_SKQG_WithStem;1;SW_Push_Reset;
90;C1,C2,C4,C3;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;4;0.1u;
91;FB1;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;60@100MHz;
